z  BF   findere
0  42471  42962
1  42471  43736
2  42471  24370
3  42471  17546
4  42471  14102
5  42471  12095
6  42471  10842
7  42471  9954
8  42471  9426
9  42471  8898
10  42471  8653
11  42471  8526
12  42471  8419
13  42471  8347
14  42471  8434
15  42471  9086
16  42471  9520
17  42471  15527
18  42471  29767
19  42471  32641
20  42471  30609
21  42471  25657
22  42471  20048
23  42471  19481
24  42471  18636
25  42471  16099
26  42471  13320
27  42471  13137
28  42471  12981
29  42471  12864
